"","team","division","games","wins","draws","losses","elo"
"1","DAL","CEN",2,2,0,0,1565.6
"2","PIT","MET",2,2,0,0,1561.7
"3","DET","ATL",2,2,0,0,1559.5
"4","BOS","ATL",2,2,0,0,1558.2
"5","PHI","MET",2,2,0,0,1545.4
"6","CAR","MET",2,2,0,0,1544.5
"7","CGY","PAC",2,2,0,0,1542.1
"8","FLA","ATL",2,2,0,0,1540.4
"9","WPG","CEN",1,1,0,0,1536.9
"10","VGK","PAC",2,2,0,0,1529.8
"11","STL","CEN",1,1,0,0,1526.2
"12","SEA","PAC",2,1,1,0,1519.6
"13","NYR","MET",3,2,0,1,1516.9
"14","BUF","ATL",2,1,0,1,1515.6
"15","TOR","ATL",3,2,0,1,1513.9
"16","NYI","MET",2,1,0,1,1511.3
"17","EDM","PAC",2,1,0,1,1508.1
"18","COL","CEN",2,1,0,1,1505.8
"19","CHI","CEN",3,1,0,2,1485.1
"20","NSH","CEN",4,2,0,2,1479.5
"21","WSH","MET",3,1,0,2,1478.8
"22","TBL","ATL",3,1,0,2,1477.6
"23","ANA","PAC",2,0,1,1,1476.7
"24","LAK","PAC",3,1,0,2,1469.2
"25","VAN","PAC",2,0,0,2,1462.6
"26","MTL","ATL",3,1,0,2,1456.4
"27","MIN","CEN",2,0,0,2,1453.4
"28","OTT","ATL",2,0,0,2,1453.4
"29","NJD","MET",2,0,0,2,1442
"30","ARI","CEN",2,0,0,2,1441.8
"31","SJS","PAC",4,0,0,4,1411.5
"32","CBJ","MET",3,0,0,3,1410.5
